zipcode,arrest_rate
10001,7.87
10002,3.1
10003,8.69
10004,26.99
10005,25.45
10006,16.98
10007,10.88
10009,3.15
10010,5.98
10011,6.64
10012,8.57
10013,6.52
10014,11.23
10016,2.71
10017,3.55
10018,57.7
10019,6.68
10021,3.87
10022,1.85
10023,2.34
10024,2.92
10025,1.66
10026,16.01
10027,6.9
10028,2.04
10029,6.9
10030,11.12
10031,3.83
10032,4.69
10033,5.0
10034,5.41
10035,6.38
10036,7.81
10037,10.78
10038,8.12
10039,10.63
10040,3.68
10044,11.35
10065,3.72
10069,21.59
10075,2.25
10128,1.87
10162,42.34
10280,7.47
10282,10.73
10301,3.06
10302,8.33
10303,2.16
10304,1.62
10305,1.81
10306,1.98
10307,2.14
10308,1.15
10309,1.35
10310,4.68
10312,0.61
10314,0.31
10451,9.18
10452,11.35
10453,4.17
10454,9.78
10455,7.88
10456,4.12
10457,5.34
10458,7.68
10459,4.45
10460,4.56
10461,2.87
10462,2.43
10463,2.48
10464,8.64
10465,1.47
10466,2.31
10467,2.72
10468,4.05
10469,1.87
10470,10.23
10471,1.9
10472,4.78
10473,2.03
10474,22.68
10475,3.15
11001,0.63
11003,0.33
11004,0.85
11005,8.55
11010,0.21
11020,2.16
11021,1.01
11023,0.53
11024,2.87
11030,0.44
11040,0.08
11050,0.24
11096,1.18
11101,6.46
11102,2.87
11103,3.8
11104,3.25
11105,5.38
11106,4.4
11109,32.63
11201,3.46
11203,2.59
11204,1.34
11205,7.29
11206,3.83
11207,4.19
11208,2.81
11209,1.07
11210,2.41
11211,2.09
11212,5.92
11213,6.81
11214,2.1
11215,2.02
11216,5.26
11217,2.63
11218,1.71
11219,1.01
11220,1.82
11221,5.65
11222,2.1
11223,1.63
11224,5.81
11225,4.77
11226,4.46
11228,1.64
11229,1.71
11230,2.01
11231,2.82
11232,3.02
11233,5.17
11234,0.85
11235,2.48
11236,2.18
11237,5.37
11238,4.28
11239,11.78
11354,1.49
11355,2.02
11356,3.9
11357,1.62
11358,1.56
11360,2.79
11361,5.82
11362,0.98
11363,2.94
11364,0.92
11365,1.22
11366,2.31
11367,4.8
11368,1.59
11369,3.19
11370,5.45
11372,5.9
11373,2.86
11374,3.95
11375,2.1
11377,0.84
11378,3.1
11379,2.95
11385,3.52
11411,3.09
11412,2.65
11413,2.03
11414,6.64
11415,2.83
11416,4.61
11417,2.12
11418,4.96
11419,1.62
11420,1.76
11421,7.33
11422,1.71
11423,2.16
11426,1.45
11427,1.34
11428,2.84
11429,2.24
11432,1.4
11433,5.62
11434,1.54
11435,6.02
11436,6.41
11501,0.05
11507,0.63
11509,14.16
11514,0.56
11516,11.4
11518,1.35
11520,0.0
11530,0.19
11542,0.07
11545,0.13
11547,2.53
11548,1.34
11552,0.12
11557,0.66
11558,1.33
11559,6.64
11560,0.36
11561,0.08
11563,0.27
11565,1.54
11568,0.01
11569,1.65
11570,0.07
11572,0.3
11576,0.64
11577,0.09
11579,1.18
11580,0.48
11581,1.68
11596,0.31
11598,2.32
11691,2.32
11692,5.98
11693,13.21
11694,1.89
11697,2.29
