ZIPCODE,COMPLAINT_COUNT
10001,14930
10002,21746
10003,31892
10004,7681
10005,11949
10006,7002
10007,7565
10009,21438
10010,15652
10011,27943
10012,20503
10013,14220
10014,22744
10016,11673
10017,7033
10018,23947
10019,21267
10020,10642
10021,15764
10022,7716
10023,17645
10024,13708
10025,17474
10026,36607
10027,33504
10028,10847
10029,33253
10030,28135
10031,18163
10032,16708
10033,18596
10034,12094
10035,17956
10036,17028
10037,18689
10038,14195
10039,22930
10040,16030
10041,12194
10044,10391
10045,14917
10055,14142
10060,11841
10065,13342
10069,14669
10075,9125
10103,10477
10110,14293
10111,8531
10112,10161
10115,18027
10119,38576
10128,13649
10152,6438
10153,17264
10154,7602
10162,8461
10165,12747
10167,6510
10168,9681
10169,4629
10170,10773
10171,7536
10172,5591
10173,17007
10174,13792
10177,7264
10199,15270
10271,7573
10278,14185
10279,5595
10280,4682
10281,6017
10282,7800
10301,15423
10302,14658
10303,6698
10304,9678
10305,10762
10306,9937
10307,5067
10308,6330
10309,5331
10310,13788
10311,4624
10312,6516
10314,4724
10451,31036
10452,53285
10453,31397
10454,22240
10455,23815
10456,31105
10457,34362
10458,43154
10459,22071
10460,24670
10461,15939
10462,22199
10463,17540
10464,4794
10465,9076
10466,17835
10467,23967
10468,31106
10469,13607
10470,17530
10471,6808
10472,32273
10473,15792
10474,19298
10475,10645
11001,2162
11003,2053
11004,2351
11005,2416
11010,868
11020,1607
11021,2131
11023,1015
11024,3061
11030,718
11040,521
11042,1584
11050,993
11096,1403
11101,11716
11102,11612
11103,23122
11104,12467
11105,12211
11106,10841
11109,14119
11201,15761
11203,24452
11204,16324
11205,25478
11206,28339
11207,29042
11208,30049
11209,12214
11210,18252
11211,19827
11212,40346
11213,35787
11214,20309
11215,18734
11216,27462
11217,14857
11218,17440
11219,13027
11220,24327
11221,35121
11222,10007
11223,18154
11224,22622
11225,24921
11226,33350
11228,12436
11229,18797
11230,21993
11231,12800
11232,11559
11233,31685
11234,9870
11235,18896
11236,24651
11237,26140
11238,25268
11239,15670
11241,10837
11242,6316
11243,14695
11249,22561
11252,5329
11256,14223
11351,11278
11354,10387
11355,17691
11356,10855
11357,9345
11358,7957
11359,4890
11360,7519
11361,8796
11362,2897
11363,2854
11364,4508
11365,7559
11366,4910
11367,24608
11368,13949
11369,12943
11370,13964
11371,6368
11372,26384
11373,25674
11374,17816
11375,12816
11377,12400
11378,10730
11379,13411
11385,23557
11411,7218
11412,10122
11413,8720
11414,10513
11415,9516
11416,13159
11417,9479
11418,12468
11419,11615
11420,10418
11421,18243
11422,6848
11423,8074
11424,16593
11425,6253
11426,3692
11427,4938
11428,7889
11429,7044
11430,3146
11432,9773
11433,15980
11434,9816
11435,17302
11436,11431
11451,14614
11501,106
11507,383
11509,3120
11510,3
11514,408
11516,5500
11518,1502
11520,16
11530,522
11542,257
11545,233
11547,330
11548,570
11552,652
11557,598
11558,1328
11559,1919
11560,253
11561,383
11563,1203
11565,2073
11568,14
11569,417
11570,423
11572,1580
11576,1091
11577,166
11579,634
11580,2343
11581,5718
11596,150
11598,3137
11691,11961
11692,9164
11693,7462
11694,5367
11697,1558
