ZIPCODE,COMPLAINT_COUNT
10001,6137
10002,11265
10003,23716
10004,3397
10005,8139
10006,1981
10007,3275
10009,7424
10010,7918
10011,15207
10012,8756
10013,7049
10014,16552
10016,5675
10017,2563
10018,18554
10019,11066
10021,7906
10022,2333
10023,5969
10024,9612
10025,5777
10026,24978
10027,19002
10028,3527
10029,26038
10030,12327
10031,8254
10032,10794
10033,12770
10034,11106
10035,8246
10036,6578
10037,7663
10038,6891
10039,9784
10040,6475
10044,6152
10065,5483
10069,5376
10075,2432
10128,5376
10162,2643
10280,3218
10282,2393
10301,5104
10302,7147
10303,2162
10304,2536
10305,3046
10306,5975
10307,1458
10308,1349
10309,2078
10310,4768
10312,1415
10314,1046
10451,18095
10452,41683
10453,12131
10454,18966
10455,14350
10456,13819
10457,14329
10458,28438
10459,8188
10460,10589
10461,6795
10462,7353
10463,7730
10464,1603
10465,3102
10466,7669
10467,13756
10468,12328
10469,6073
10470,6099
10471,1688
10472,14380
10473,4908
10474,14683
10475,7560
11001,820
11003,634
11004,510
11005,737
11010,220
11020,533
11021,663
11023,263
11024,840
11030,253
11040,150
11050,303
11096,415
11101,9170
11102,3942
11103,7054
11104,4452
11105,10644
11106,9722
11109,5723
11201,9822
11203,8591
11204,5026
11205,15829
11206,14637
11207,15605
11208,10656
11209,3298
11210,7498
11211,9319
11212,20184
11213,19314
11214,8909
11215,6238
11216,11100
11217,4110
11218,5064
11219,4219
11220,7808
11221,20319
11222,3185
11223,5288
11224,11967
11225,13442
11226,23093
11228,3469
11229,5782
11230,7920
11231,3844
11232,3774
11233,14450
11234,4003
11235,10081
11236,9536
11237,12240
11238,8754
11239,6384
11354,3584
11355,7616
11356,4097
11357,2565
11358,2476
11360,2303
11361,10018
11362,816
11363,946
11364,1442
11365,2510
11366,1451
11367,7589
11368,7281
11369,5361
11370,11172
11372,18974
11373,15277
11374,7958
11375,7857
11377,3617
11378,4529
11379,4885
11385,19277
11411,2390
11412,4152
11413,3602
11414,7196
11415,2624
11416,5168
11417,2923
11418,10091
11419,3962
11420,3964
11421,17012
11422,2405
11423,2975
11426,1160
11427,1462
11428,2379
11429,2519
11432,3597
11433,7184
11434,4089
11435,15353
11436,4730
11501,43
11507,180
11509,1460
11514,138
11516,4729
11518,433
11520,4
11530,256
11542,94
11545,76
11547,69
11548,163
11552,128
11557,205
11558,453
11559,3068
11560,79
11561,102
11563,263
11565,586
11568,2
11569,83
11570,65
11572,498
11576,350
11577,41
11579,245
11580,898
11581,1662
11596,186
11598,1392
11691,5874
11692,5044
11693,9092
11694,1793
11697,411
